id,name,website,address,phone,twitter,x,y,city
35,Cedar Park Center,http://www.cedarparkcenter.com/,2100 Ave of the Stars- Cedar Park- TX 78613,(512) 600-5000,@cedarparkcenter,-97.820227,30.54136,
36,Cedar Street Courtyard,http://cedarstreetaustin.com/,208 W 4th St- Austin- TX 78701,(512) 495-9669,@cedarst,-97.745175,30.266958,
37,Cenote,,78702,(512) 524-1311,@cenoteaustin,-97.714515,30.260354,
38,Central Market North,http://www.centralmarket.com/Home,4001 N Lamar Blvd- Austin- TX 78756,(512) 206-1000,@centralmarket,-97.739714,30.307344,
39,Central Market North Lamar,http://www.centralmarket.com/in-store.aspx?store=austin_lamar,4001 N Lamar Blvd- Austin- TX 78756,(512) 206-1000,@centralmarket,-97.739714,30.307344,
40,Central Market South,http://www.centralmarket.com/Home,4477 S Lamar Blvd- Austin- TX 78745,(512) 899-4300,@centralmarket,-97.798361,30.230592,
41,Central Market Westgate,http://www.centralmarket.com/Home,WestGate Shopping Center- 4477 S Lamar Blvd- Austin- TX 78745,(512) 899-4300,@centralmarket,-97.798361,30.230592,
42,Cheatham Street Warehouse,http://www.cheathamstreet.com/,119 Cheatham St- San Marcos- TX 78666,(512) 353-3777,@cheathamstreet,-97.939759,29.876736,
43,Cheer-up Charlies,http://cheerupcharlies.com/,900 Red River St- Austin- TX 78701,(512) 431-2133,@cheerupcharlies,-97.736358,30.26961,
44,Cherrywood Coffeehouse,http://www.cherrywoodcoffeehouse.com/,1400 E 38th 1/2 St- Austin- TX 78722,(512) 538-1991,@cwcoffeehouse,-97.716023,30.293441,
45,Chuggin' Monkey,http://www.thechugginmonkey.com/1.0/homepage/,219 E 6th St- Austin- TX 78701,(512) 476-5015,@thechugginmonk,-97.740788,30.267278,
46,Circuit of the Americas,http://circuitoftheamericas.com/,9201 Circuit of the Americas Blvd- Austin-TX 78617,512-301-6600,@circuitamericas,-97.638429,30.134165,
47,Club 1808,http://www.club1808andannex.com/,1808 E 12th St- Austin- TX 78702,(512) 524-2519,@club1808,-97.720404,30.273865,
48,Continental Club,http://www.continentalclub.com/Austin.html,1315 S Congress Ave- Austin- TX 78704,(512) 441-2444,,-97.749114,30.250516,
49,Coupland Dancehall,http://www.couplanddancehall.com/home/Dancehall.aspx,101 Hoxie St- Coupland- TX 78615,(512) 856-2777,,-97.390421,30.459351,
50,Craft Pride,http://craftprideaustin.com/,61 Rainey St- Austin- TX 78701,(512) 428-5571,@craftpride,-97.738777,30.257925,
51,Crave,http://cravetexas.com/,340 E 2nd St- Austin- TX 78701,(512) 469-0000,@craveamerica,-97.740886,30.263672,
52,Dirty Bill's,http://dirtybillsatx.com/,511 Rio Grande St- Austin- TX 78701,(512) 477-3789,@dirtybill,-97.74939,30.269622,
53,Dirty Dog Bar,https://dirtydogbar.com/Home_Page.html,505 E 6th St- Austin- TX 78701,(512) 236-9800,@dirtydogbar,-97.738026,30.266434,
54,Dizzy Roster,http://www.dizzyrooster.com/,306 E 6th St- Austin- TX 78701,(512) 236-1667,@thedizzyroost,-97.739981,30.267557,
55,Donn's Depot,http://donnsdepot.com/,1600 W 5th St- Austin- TX 78703,(512) 478-0336,,-97.763297,30.274052,
56,Dougherty Arts Center,http://www.austintexas.gov/dac,1110 Barton Springs Rd- Austin- TX 78704,(512) 974-4000,@doughertyarts,-97.755996,30.260643,
57,East Side Drive-In,m/,East Side Dr Austin- TX 78704,,,-97.747736,30.23978,
58,East Side Showroom,http://eastsideshowroom.com/,1100 E 6th St- Austin- TX 78702,(512) 467-4280,@eastshowroom,-97.731296,30.264871,
59,Easy Tiger,http://easytigeraustin.com/,709 E 6th St- Austin- TX 78701,(512) 614-4972,@easytigeratx,-97.735648,30.265911,
60,El Coliseo of Austin,http://thecoliseumaustin.com/,9111 Farm to Market 812- Austin- TX 78719,(512) 382-6848,@coliseumaustin,-97.687976,30.159125,
61,El Sol y La Luna,http://elsolylalunaaustin.com/,600 E 6th St- Austin- TX 78701,(512) 444-7770,,-97.736826,30.266669,
62,Elephant Room,http://www.elephantroom.com/,315 Congress Ave- Austin- TX 78701,(512) 473-2279,,-97.743261,30.26558,
63,Elysium,http://www.elysiumonline.net/,705 Red River St- Austin- TX 78701,,@elysiumaustin,-97.736546,30.267572,
64,Emo's East,http://www.emosaustin.com/,2015 E Riverside Dr- Austin- TX 78741,(512)693-3667,@emosaustin,-97.727919,30.240371,
65,Empire Control Room,http://empireatx.com/,606 E 7th St- Austin- TX 78701,(512) 651-4690,,-97.736052,30.267437,
66,Esquina Tango,http://www.esquinatangoaustin.com/,209 Pedernales St- Austin- TX 78702,(512) 524-2772,,-97.71576,30.255926,
67,Fado Irish Pub,http://www.fadoirishpub.com/austin/,214 W 4th St- Austin- TX 78701,(512) 457-0172,@fadoaustin,-97.745435,30.267047,
68,Flamingo Cantina,http://flamingocantina.com/,515 E 6th St- Austin- TX 78701,(512) 494-9336,@flamingocantina,-97.737773,30.266416,
69,Four Seasons,http://www.fourseasons.com/austin/,98 San Jacinto Blvd- Austin- TX 78701,(512) 478-4500,@fsaustin,-97.74228,30.261618,
70,Frank,http://hotdogscoldbeer.com/,407 Colorado St- Austin- TX 78701,(512) 494-6916,@hotdogscoldbeer,-97.744299,30.266906,
71,Frank Erwin Center,http://uterwincenter.com/,1701 Red River St- Austin- TX 78701,(512) 471-7744,@erwincenter,-97.732413,30.276677,
72,Friends,http://www.friendsbar.com/,208 E 6th St- Austin- TX 78701,(512) 320-8193,,-97.740942,30.267861,
73,Giddy Up's,http://www.giddyups.com/,12010 Manchaca Rd- Austin- TX 78748,(512) 280-4732,,-97.833593,30.143922,
74,Ginny's Little Longhorn,http://thelittlelonghornsaloon.com/,5434 Burnet Rd- Austin- TX 78756,(512) 524-1291,,-97.740185,30.32933,
75,Green Mesquite BBQ,http://www.greenmesquite.net/,1400 Barton Springs Rd- Austin- TX 78704,(512) 479-0485,@greenmesquite,-97.759233,30.261492,
76,Gruene Hall,http://gruenehall.com/#contact,1281 Gruene Rd- New Braunfels- TX 78130,(830)629-5077,@gruenehalltx,-98.104414,29.738326,
77,Guero's Taco Bar,http://www.guerostacobar.com/,1412 S Congress Ave- Austin- TX 78704,(512) 447-7688,@guerostacobar,-97.750174,30.249122,
78,Gypsy Lounge,http://www.gypsyloungeaustin.com/,1504 E 6th St- Austin- TX 78702,(512) 243-6118,,-97.727045,30.26337,
79,Halcyon,http://halcyoncoffeebar.com/location/austin,218 W 4th St- Austin- TX 78701,(512) 472-9637,@halcyonatx,-97.745635,30.267036,
80,Hanover's Draught Haus,http://hanoversaustin.com/,108 E Main St- Pflugerville- TX 78660,(512) 670-9617,@hanoversaustin,-97.619596,30.440843,
81,Hardtails Bar & Grill,http://www.hardtailsbarandgrill.com/,1515 N Ih 35- Georgetown- TX 78628,(512) 869-5454,@hardtailsbar,-97.669497,30.667497,
82,Hartman Concert Park at the Long Center,http://thelongcenter.org/about/venues/city-terrace-hartman-concert-park/,701 W Riverside Dr- Austin- TX 78704,(512) 474-5664,,-97.751079,30.259982,
83,Haymaker,http://www.haymakeraustin.com/,2310 Manor Rd- Austin- TX 78722,(512) 243-6702,,-97.717602,30.2848,
84,Highland Lounge,http://highlandlounge.com/,404 Colorado St- Austin- TX 78701,(512) 649-1212,@highlandaustin,-97.744897,30.267002,
85,Hill's Cafe,http://hillscafe.com/,4700 S Congress Ave- Austin- TX 78745,(512) 851-9300,,-97.768825,30.215761,
86,Historic Scoot Inn,http://scootinnaustin.com/,1308 E 4th St- Austin- TX 78702,(512) 394-5486,@scoot_inn_atx,-97.729398,30.262134,
87,Hole in the wall,http://www.holeinthewallaustin.com/,2538 Guadalupe St- Austin- TX 78705,512) 302-1470,,-97.741627,30.290062,
88,Holy Mountain,www.holymountainaustin.com,617 E 7th St- Austin- TX 78701,,@holymountainatx,-97.736172,30.266983,
89,Hotel San Jose,http://www.sanjosehotel.com/,1316 S Congress Ave- Austin- TX 78704,(512) 444-7322,@sanjosehotel,-97.749681,30.250715,
90,Hotel Vegas,http://texashotelvegas.com/,1500 E 6th St- Austin- TX 78702,,@hotelhotburrito,-97.727235,30.263424,
91,House Wine,http://www.housewineaustin.com/,408 Josephine St- Austin- TX 78704,(512) 322-5210,@housewine,-97.758918,30.261925,
92,Hudson on 5th,https://plus.google.com/104949543419372146855/about?gl=us&hl=en#104949543419372146855/about?gl=us&hl=en,301 W 5th St- Austin- TX 78701,(512)895-9567,,-97.745922,30.267602,
93,Hyde Park Bar & Grill,uth,4521 West Gate- Austin- TX 78745,(512) 899-2700,@hydeparkbng,-97.800064,30.231673,
94,Icenhauer's,http://www.icenhauers.com/,83 Rainey St- Austin- TX 78701,(512) 473-0005,@icenhauers,-97.738238,30.259378,
95,In.Gredients,http://in.gredients.com/,2610 Manor Rd- Austin- TX 78722,(512) 275-6357,,-97.714634,30.285278,
96,Ironwood Hall,http://www.ironwoodhall.com/,505 E 7th St- Austin- TX 78701,(512) 479-0471,,-97.737537,30.267331,
97,JW Marriott Austin,http://www.marriott.com/hotels/travel/ausjw-jw-marriott-austin/,110 E 2nd St- Austin- TX 78701,(512) 474-4777,@jwmarriottaustin,-97.743344,30.264514,
98,Karma Lounge,http://www.karmaloungeaustin.com/,105 E 5th St- Austin- TX 78701,(512) 469-0504,,-97.742393,30.266674,
99,Key Bar,http://www.keybaraustin.com/,617 W 6th St- Austin- TX 78701,(512) 236-9389,@keybaraustin,-97.74941,30.269764,
100,Kick Butt Coffee,http://www.kickbuttcoffee.com/,5775 Airport Blvd- Austin- TX 78752,(512) 454-5425,@kickbuttcoffee,-97.713504,30.322477,
101,Kingdom Austin,http://www.kingdomaustin.com/,103 E 5th St- Austin- TX 78701,(512) 522-0116,@kingdomaustin,-97.742439,30.26675,
102,Kingdom Nighclub,http://www.kingdomaustin.com/,103 E 5th St- Austin- TX 78701,(512) 522-0116,@kingdomaustin,-97.742439,30.26675,
103,La Palapa,http://www.lapalapaaustin.com/pages/index.php,6640 U.S. 290 Frontage Rd- Austin- TX 78752,(512) 459-8729,,-97.692493,30.321725,
104,Lamberts,http://www.lambertsaustin.com/press/,01 W 2nd St- Austin- TX 78701,(512) 494-1500,,-97.748563,30.265361,
105,Lamberts,http://www.lambertsaustin.com/,2ND Street District- 401 W 2nd St- Austin- TX 78701,(512) 494-1500,,-97.747952,30.265116,
106,Lamberts Downtown BBQ,http://www.lambertsaustin.com/,2ND Street District- 401 W 2nd St- Austin- TX 78701,(512) 494-1500,,-97.747952,30.265116,
107,Liberty Tavern,http://libertytaverntx.com/,500 E 4th St- Austin- TX 78701,(512) 493-4901,@libertytaverntx,-97.738091,30.265165,
108,Little Longhorn Saloon,http://thelittlelonghornsaloon.com/,5434 Burnet Rd- Austin- TX 78756,(512) 524-1291,,-97.740185,30.32933,
109,Little Woodrow's Bee Cave,http://littlewoodrows.com/,12801 Shops Pkwy #100- Austin- TX 78738,(512) 263-8374,@littlewoodrows,-97.942165,30.30466,
110,Long Center for Preforming Arts,http://thelongcenter.org/,701 W Riverside Dr- Austin- TX 78704,(512) 474-5664,@longcenter,-97.751079,30.259982,
111,Lucky Lounge,http://theluckylounge.com/,209 W 5th St Ste A- Austin- TX 78701,(512) 479-7700,@luckyloungeatx,-97.745337,30.267437,
112,Maggie Mae's,http://www.maggiemaesaustin.com/,323 E 6th St- Austin- TX 78701,(512) 478-8541,@maggiemaesatx,-97.73975,30.266961,
113,Malaga Tapas & Bar,http://malagaaustin.com/,2ND Street District- 440 W 2nd St- Austin- TX 78701,(512) 236-8020,@malagatapasbar,-97.748088,30.265925,
114,Manuel's Downtown,http://www.manuels.com/,310 Congress Ave- Austin- TX 78701,(512) 472-7555,@manuelsaustin,-97.743977,30.26582,
115,Manuel's Great Hills,http://www.manuels.com/,10201 Jollyville Rd- Austin- TX 78759,(512) 345-1042,@manuelsaustin,-97.749314,30.396753,
116,Maria's Taco Xpress,http://tacoxpress.com/,2529 S Lamar Blvd- Austin- TX 78704,(512) 444-0261,@mariatacoxpress,-97.778358,30.245909,
117,Mercer Street Dancehall,http://www.mercerstreetdancehall.com/,332 Mercer St- Dripping Springs- TX 78620,(512) 858-4314,,-98.090153,30.192798,
118,Mercury Hall,http://mercuryhall.com/,615 Cardinal Ln- Austin- TX 78704,(512) 236-1226,,-97.767319,30.232126,
119,Moontower,http://www.moontowersaloon.com/,10212 Manchaca Rd- Austin- TX 78748,(512) 712-5661,,-97.82663,30.169272,
120,Mozart's Coffee Roasters,http://www.mozartscoffee.com/,3825 Lake Austin Blvd- Austin- TX 78703,(512) 477-2900,@mozartscoffee,-97.784398,30.295245,
121,Nasty's,https://plus.google.com/102651252157047367280/about?gl=us&hl=en#102651252157047367280/about?gl=us&hl=en,606 Maiden Ln- Austin- TX 78705,(512)453-4349,,-97.739362,30.30188,
122,North By Northwest Restaurant & Brewery,http://nxnwbrew.com/,10010 N Capital of Texas Hwy- Austin- TX 78759,(512) 467-6969,,-97.738351,30.391162,
123,Nutty Brown Cafe,http://nuttybrown.com/,12225 W Highway 290- Austin- TX 78737,(512) 301-4648,@nuttybrowncafe,-97.971639,30.209428,
124,One World Theater,http://www.oneworldtheatre.org/index.aspx,7701 Bee Caves Rd- Austin- TX 78746,(512) 330-9500,@oneworldtheater,-97.845468,30.308881,
125,Opa!,http://opacoffeewine.com/,2050 S Lamar Blvd- Austin- TX 78704,(512) 326-8742,@austinopa,-97.769492,30.248972,
126,Opal Divine's Marina,http://www.opaldivines.com/marina/,12709 North Mopac ExpresswayAustin- TX 78727,(512) 733-5353,@opaldivines,-97.702057,30.423735,
127,Opal Divine's Penn Field,http://www.opaldivines.com/,3601 S Congress Ave K100- Austin- TX 78704,(512) 707-0237,@opaldivines,-97.759925,30.227714,
128,Palmer Events Center,http://www.palmereventscenter.com/,900 Barton Springs Rd- Austin- TX 78704,(512) 404-4500,,-97.752937,30.260613,
129,Paramount Theater,http://www.austintheatre.org/site/PageServer?pagename=Home,713 Congress Ave- Austin- TX 78701,(512)472-5470,@paramountaustin,-97.741945,30.269379,
130,Patsy's Cafe,http://patsyscafe.com/,5001 E Ben White Blvd- Austin- TX 78744,(512) 444-2020,@patsyscafeatx,-97.728129,30.213436,
131,Pete's Dueling Piano Bar,http://www.petesduelingpianobar.com/,421 E 6th St- Austin- TX 78701,(512) 472-7383,,-97.738612,30.266603,
132,Plush,http://www.plushatx.com/,617 Red River St- Austin- TX 78701,(512) 478-0099,@plushatx,-97.736634,30.267223,
133,Poodie's Hilltop Roadhouse,http://www.poodies.net/,22308 TX-71- Spicewood- TX 78669,(512) 264-0318,,-98.074711,30.370245,
134,Radio,http://radiocoffeeandbeer.com/,4208 Manchaca Rd- Austin- TX 78704,(512) 394-7844,@radiocoffeebeer,-97.787853,30.231382,
135,Rain on 4th,http://www.rainon4th.com/,217 W 4th St- Austin- TX 78701,(512) 494-1150,@rainon4thatx,-97.745679,30.266516,
136,Rattle Inn,http://rattleinnaustin.com/,610 Nueces St- Austin- TX 78701,(512) 373-8306,@therattleinn,-97.748532,30.270295,
137,Red 7,http://red7austin.com/,611 E 7th St- Austin- TX 78701,(512) 476-8100,@red_7,-97.736287,30.26698,
138,Red Eyed Fly,http://redeyedfly.com/,715 Red River St- Austin- TX 78701,(512) 474-1084,@redeyedflyatx,-97.736343,30.267896,
139,Red Shed Tavern,http://www.redshedtavern.com/,8504 S Congress Ave- Austin- TX 78745,(512) 280-4899,,-97.785654,30.172668,
140,Red's Porch,http://www.redsporch.com/,3508 S Lamar Blvd- Austin- TX 78704,(512) 440-7337,@redsporch,-97.788656,30.240188,
141,Riley's Tavern,http://www.rileystavern.com/,8894 FM 1102- New Braunfels- TX 78132,(512) 392-3132,,-98.023591,29.806249,
142,Rockin' Tomato,https://plus.google.com/103942768551430424915/about?gl=us&hl=en#103942768551430424915/about?gl=us&hl=en,Corners Shopping Center- 3003 S Lamar Blvd #150- Austin- TX 78704,(512) 447-3351,,-97.757077,30.264777,
143,Russian House of Austin,om/,307 E 5th St- Austin- TX 78701,(512) 428-5442,@russianhouseatx,-97.740248,30.266015,
144,Ruth's Chris Steak House,http://www.ruthschris.com/,107 W 6th St- Austin- TX 78701,(512) 477-7884,,-97.743504,30.267992,
145,Sagra,http://sagraaustin.net/,1050 E 11th St #100- Austin- TX 78702,(512) 535-5988,@sagraaustin,-97.729094,30.269372,
146,Salvage Vanguard Theater,http://salvagevanguard.org/,2803 E Manor Rd- Austin- TX 78722,512) 474-7886,@salvagevanguard,-97.712128,30.285026,
147,Sam's Boat,http://www.samsboat.com/,3908 W Braker Ln- Austin- TX 78759,(512) 502-0404,,-97.733381,30.397697,
148,Sam's Town Point,https://plus.google.com/108093436858076619282/about?gl=us&hl=en#108093436858076619282/about?gl=us&hl=en,2115 Allred Dr- Austin- TX 78748,,,-97.827549,30.172127,
149,Saxon Pub,http://thesaxonpub.com/,1320 S Lamar Blvd- Austin- TX 78704,(512) 448-2552,@saxonpub,-97.763545,30.253558,
150,Schholz Bier Garten,https://plus.google.com/107861599099425745203/about?gl=us&hl=en#107861599099425745203/about?gl=us&hl=en,1607 San Jacinto Blvd- Austin- TX 78701,(512) 474-1958,,-97.73632,30.277749,
151,Shady Grove,http://theshadygrove.com/,78704,(512) 474-9991,@theshadygrove,-97.768836,30.245673,
152,Shakespeare's Pub,http://www.shakespearesaustin.com/,314 E 6th St- Austin- TX 78701,(512) 472-1666,,-97.739778,30.267388,
153,Shangri La,http://shangrilaaustin.com/,1016 E 6th St- Austin- TX 78702,(512) 524-4291,@shangrilaaustin,-97.731572,30.265047,
154,Shenanigans Nightclub,http://www.shenanigansnightclub.com/,13233 Pond Springs Rd #316- Austin- TX 78729,(512) 258-9717,,-97.778982,30.446591,
155,Sherlock's Baker st. Pub & Grill,http://sherlockspub.com/,9012 Research Blvd- Austin- TX 78758,(512) 380-9443,,-97.724509,30.371446,
156,Shoal Creek Saloon,http://shoalcreeksaloon.com/,909 N Lamar Blvd- Austin- TX 78703,(512) 474-0805,@screksaloon,-97.752315,30.274234,
157,Shooters Billards North,http://www.shootersbilliards.net/austin-pool-hall-620.htm,11416 N FM 620- Austin- TX 78726,(512) 401-2060,,-97.828046,30.453361,
158,South Lamar Social Club,,2310 S Lamar Blvd- Austin- TX 78704,(512) 326-4636,,-97.774713,30.247532,
159,Speakeasy,http://www.speakeasyaustin.com/,412 Congress Ave- Austin- TX 78701,(512) 476-8017,@speakeasyaustin,-97.743744,30.266834,
160,Spider House Ballroom,https://spiderhouseaustin.com/cafe/,2906 Fruth St- Austin- TX 78705,(512) 480-9562,@spiderhouse,-97.742054,30.295368,
161,St.David's Episcopal Church,http://www.stdave.org/,301 E 8th St- Austin- TX 78701,(512) 610-3500,@stdavidschurch,-97.739164,30.268503,
162,Stateside at the Paramount,http://www.austintheatre.org/site/PageNavigator/venues/state,713 Congress Ave- Austin- TX 78701,(512)472-5470,@paramountaustin,-97.741945,30.269379,
163,Stay Gold,http://staygoldaustin.com/,1910 E Cesar Chavez- Austin- TX 78702,,@staygoldaustin,-97.723708,30.257077,
164,Stompin Grounds,http://www.stompingroundsaustin.com/,3801 S Congress Ave- Austin- TX 78704,(512) 394-6999,,-97.761892,30.226108,
165,Strahan Coliseum,http://www.maps.txstate.edu/campus/buildings/stra.html,700 Aquarena Springs Dr- San Marcos- TX 78666,(512) 245-2114,,-97.932816,29.888826,
166,Strange Brew,http://www.strangebrewaustin.com/,5326 Manchaca Rd- Austin- TX 78745,(512) 828-7636,@strangebrewatx,-97.796536,30.217875,
167,Stubb's,https://www.stubbsaustin.com/,801 Red River St- Austin,(512) 480-8341,@stubbsaustin,-97.736156,30.26849,
168,Swan Dive,http://www.swandiveaustin.com/,615 Red River St- Austin- TX 78701,(512) 470-7407,@sawndiveaustin,-97.736584,30.267126,
169,Swift's Attic,http://swiftsattic.com/,315 Congress Ave- Austin- TX 78701,(512) 482-8842,@swiftsattic,-97.743261,30.26558,
170,Symphony Square,http://www.austinsymphony.org/about/symphony-square/,1101 Red River St- Austin- TX 78701,(512) 476-6064,@austinsymphony,-97.734996,30.271352,
171,TenOak,http://www.tenoakaustin.com/,409 Colorado St- Austin- TX 78701,(512) 472-2822,@tenoakaustin,-97.744449,30.267022,
172,Texas Bar & Grill,http://www.tbagaustin.com/,14611 North Mo Pac Expy # 100- Austin- TX 78728,(512) 255- 1300,@_theposse,-97.7364,30.37847,
173,Texas Club Bar & Grill,http://www.texasclubofaustin.com/,4914 Burleson Rd- Austin- TX 78744,(512) 243-6633,,-97.729695,30.212195,
174,Texas Music Theater,http://texasmusictheater.frontgatetickets.com/,120 E San Antonio St- San Marcos- TX 78666,(512) 667-7216,,-97.940475,29.882009,
175,The 311 Club,,311 E 6th St- Austin- TX 78701,(512) 477-1630,,-97.740079,30.266996,
176,The Backspace,http://thebackspace-austin.com/,507 San Jacinto Blvd- Austin- TX 78701,(512) 474-9899,@backspaceaustin,-97.74049,30.266854,
177,The backyard at Bee Cave,http://www.thebackyard.net/,13472 Bee Cave Pkwy- Austin- TX 78738,(512) 651-5033,,-97.945023,30.313982,
178,The Belmont,http://www.thebelmontaustin.com/,305 W 6th St- Austin- TX 78701,(512) 476-2100,@belmontaustin,-97.745588,30.268595,
179,The Blackheart,http://blackheartbar.com/,86 Rainey St- Austin- TX 78701,(512) 391-1566,@blackheartbar,-97.738654,30.25965,
180,The Capital Grille,https://www.thecapitalgrille.com/locations/tx/austin/8053,117 W 4th St- Austin- TX 78701,(512) 322-2005,@capitalgrille,-97.744544,30.266246,
181,The Dogwood,http://www.thedogwoodaustin.com/,715 W 6th St- Austin- TX 78701,(512) 531-9062,,-97.750349,30.269949,
182,The Driskill Hotel,http://www.driskillhotel.com/,604 Brazos St- Austin- TX 78701,(512) 439-1234,@thedriskill,-97.741709,30.268261,
183,The Gatsby,http://www.thegatsbyaustin.com/,708 E 6th St- Austin- TX 78701,(512) 320-1526,@thegatsbyaustin,-97.735526,30.266348,
184,The Hideout Theater,http://www.hideouttheatre.com/,617 Congress Ave- Austin- TX 78701,(512) 443-3688,,-97.742151,30.268569,
185,The Highball,,Lamar Plaza Shopping Center- 1120 S Lamar Blvd- Austin- TX 78704,(512) 383-8309,,-97.763319,30.255541,
186,The Liberty,http://www.thelibertyaustin.com/contact,1618 1/2 E 6th St- Austin- TX 78702,(512) 514-0502,@liberty_austin,-97.724791,30.266064,
187,The Living Room Lounge in the W,http://www.waustinlivingroom.com/,200 Lavaca St- Austin- TX 78701,(512) 542-3600,@whotelaustin,-97.746625,30.265549,
188,The Mean Eyed Cat,http://themeaneyedcat.com/,1621 W 5th St- Austin- TX 78703,(512) 472-6326,@meaneyedcatbar,-97.764864,30.274682,
189,The Mohawk,http://mohawkaustin.com/,912 Red River St- Austin- TX 78701,(512) 666-0877,@mohawkaustin,-97.736076,30.270167,
